 DANE ; DEPARTAMENTO ; MUNICIPIO ; COD EPS ; NOMBRE EPS ; NIT IPS ; NOMBRE IPS ; FORMA DE CONTRATACIÓN ; VALOR ORDENADO $ ;" TOTAL GIRO 
 NOVIEMBRE 2024 $ "
05001;ANTIOQUIA;MEDELLIN;EPSS02;Salud Total;800003765;VIRREY SOLIS IPS SA;Capitación ; 1,364,095,860.00   ; 1,364,095,860.00   
05001;ANTIOQUIA;MEDELLIN;EPSS02;Salud Total;800228773;COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO;Capitación ; 74,251,580.00   ; 74,251,580.00   
05001;ANTIOQUIA;MEDELLIN;EPSS02;Salud Total;890939936;SOCIEDAD MEDICA RIONEGRO SA;Capitación ; 12,872,028.00   ; 12,872,028.00   
05001;ANTIOQUIA;MEDELLIN;EPSS02;Salud Total;900054549;ORAL MEDIC SERVICIOS S A S;Capitación ; 7,204,827.00   ; 7,204,827.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;800168083;COOPERATIVA ANTIOQUEÑA DE SALUD COOPSANA;Capitación ; 817,967,272.00   ; 817,967,272.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;800228773;COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO;Capitación ; 1,165,645,870.00   ; 1,165,645,870.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;811005113;SALUD MENTAL INTEGRAL SOCIEDAD POR ACCIONES SIMPLIFICADA;Capitación ; 235,056,176.00   ; 235,056,176.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;890900841;CAJA DE COMPENSACION FAMILIAR DE ANTIOQUIA COMFAMA;Capitación ; 10,096,484,914.00   ; 10,096,484,914.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;890903056;INSTITUTO DEL TORAX S.A.S;Capitación ; 150,641,649.00   ; 150,641,649.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;891982128;E.S.E. HOSPITAL PRESBÍTERO ALONSO MARIA GIRALDO;Capitación ; 77,536,560.00   ; 77,536,560.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;900274660;INSTITUTO COLOMBIANO DEL DOLOR S.A.S;Capitación ; 223,504,034.00   ; 223,504,034.00   
05001;ANTIOQUIA;MEDELLIN;EPSS10;Suramericana;901130913;COOMSOCIAL IPS S.A.S;Capitación ; 591,231,898.00   ; 591,231,898.00   
05001;ANTIOQUIA;MEDELLIN;EPSS40;Savia Salud;800058016;EMPRESA SOCIAL DEL ESTADO METROSALUD;Capitación ; 13,272,656,895.00   ; 13,272,656,895.00   
05001;ANTIOQUIA;MEDELLIN;ESS024;Coosalud;890905177;E.S.E. HOSPITAL LA MARIA;Capitación ; 483,901,694.00   ; 483,901,694.00   
05002;ANTIOQUIA;ABEJORRAL;EPSS37;Nueva Eps;890980643;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL;Capitación ; 15,834,623.00   ; 15,834,623.00   
05002;ANTIOQUIA;ABEJORRAL;EPSS40;Savia Salud;890980643;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL;Capitación ; 204,805,780.00   ; 204,805,780.00   
05002;ANTIOQUIA;ABEJORRAL;ESS024;Coosalud;890980643;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL;Capitación ; 67,310,668.00   ; 67,310,668.00   
05004;ANTIOQUIA;ABRIAQUI;EPSS40;Savia Salud;890982264;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 32,024,704.00   ; 32,024,704.00   
05021;ANTIOQUIA;ALEJANDRIA;EPSS40;Savia Salud;800029509;ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ;Capitación ; 69,012,430.00   ; 69,012,430.00   
05030;ANTIOQUIA;AMAGA;EPSS37;Nueva Eps;890906346;ESE HOSPITAL SAN FERNANDO;Capitación ; 32,702,200.00   ; 32,702,200.00   
05030;ANTIOQUIA;AMAGA;EPSS40;Savia Salud;890906346;ESE HOSPITAL SAN FERNANDO;Capitación ; 65,907,958.00   ; 65,907,958.00   
05030;ANTIOQUIA;AMAGA;ESS024;Coosalud;890906346;ESE HOSPITAL SAN FERNANDO;Capitación ; 107,169,950.00   ; 107,169,950.00   
05031;ANTIOQUIA;AMALFI;EPSS37;Nueva Eps;890982101;E.S.E HOSPITAL EL CARMEN;Capitación ; 29,377,900.00   ; 29,377,900.00   
05031;ANTIOQUIA;AMALFI;EPSS40;Savia Salud;890982101;E.S.E HOSPITAL EL CARMEN;Capitación ; 110,802,732.00   ; 110,802,732.00   
05031;ANTIOQUIA;AMALFI;ESS024;Coosalud;890982101;E.S.E HOSPITAL EL CARMEN;Capitación ; 281,414,969.00   ; 281,414,969.00   
05034;ANTIOQUIA;ANDES;EPSS10;Suramericana;890980814;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;Capitación ; 26,196,201.00   ; 26,196,201.00   
05034;ANTIOQUIA;ANDES;EPSS37;Nueva Eps;890980814;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;Capitación ; 100,863,068.00   ; 100,863,068.00   
05034;ANTIOQUIA;ANDES;EPSS40;Savia Salud;890980814;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;Capitación ; 537,990,992.00   ; 537,990,992.00   
05038;ANTIOQUIA;ANGOSTURA;ESS024;Coosalud;890982183;E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA;Capitación ; 187,415,126.00   ; 187,415,126.00   
05040;ANTIOQUIA;ANORI;EPSS37;Nueva Eps;890982138;ESE HOSPITAL SAN JUAN DE DIOS DE ANORI;Capitación ; 10,231,702.00   ; 10,231,702.00   
05040;ANTIOQUIA;ANORI;EPSS40;Savia Salud;890982138;ESE HOSPITAL SAN JUAN DE DIOS DE ANORI;Capitación ; 66,249,049.00   ; 66,249,049.00   
05040;ANTIOQUIA;ANORI;ESS024;Coosalud;890982138;ESE HOSPITAL SAN JUAN DE DIOS DE ANORI;Capitación ; 280,553,451.00   ; 280,553,451.00   
05042;ANTIOQUIA;ANTIOQUIA;EPSS37;Nueva Eps;890982264;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 58,870,856.00   ; 58,870,856.00   
05042;ANTIOQUIA;ANTIOQUIA;EPSS40;Savia Salud;890982264;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 165,445,176.00   ; 165,445,176.00   
05042;ANTIOQUIA;ANTIOQUIA;ESS024;Coosalud;890982264;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;Capitación ; 210,242,870.00   ; 210,242,870.00   
05044;ANTIOQUIA;ANZA;EPSS40;Savia Salud;890397282;E.S.E. HOSPITAL SAN FRANCISCO DE ASIS;Capitación ; 121,741,698.00   ; 121,741,698.00   
05045;ANTIOQUIA;APARTADO;EPSS10;Suramericana;900390423;PROMOTORA CLINICA ZONA FRANCA DE URABA SAS;Capitación ; 331,681,598.00   ; 331,681,598.00   
05045;ANTIOQUIA;APARTADO;EPSS37;Nueva Eps;811045925;SALUD DARIEN I.P.S. S.A.;Capitación ; 183,196,269.00   ; 183,196,269.00   
05045;ANTIOQUIA;APARTADO;EPSS40;Savia Salud;900038926;PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A;Capitación ; 937,907,920.00   ; 937,907,920.00   
05045;ANTIOQUIA;APARTADO;EPSS41;Nueva Eps;811045925;SALUD DARIEN I.P.S. S.A.;Capitación ; 115,134,225.00   ; 115,134,225.00   
05051;ANTIOQUIA;ARBOLETES;CCF033;Familiar de Colombia;890982134;E.S.E. HOSPITAL PEDRO NEL CARDONA;Capitación ; 38,167,431.00   ; 38,167,431.00   
05051;ANTIOQUIA;ARBOLETES;EPSS40;Savia Salud;890982134;E.S.E. HOSPITAL PEDRO NEL CARDONA;Capitación ; 565,881,900.00   ; 565,881,900.00   
05051;ANTIOQUIA;ARBOLETES;EPSS41;Nueva Eps;890982134;E.S.E. HOSPITAL PEDRO NEL CARDONA;Capitación ; 164,254,272.00   ; 164,254,272.00   
05055;ANTIOQUIA;ARGELIA;EPSS40;Savia Salud;890981851;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN;Capitación ; 138,567,884.00   ; 138,567,884.00   
05059;ANTIOQUIA;ARMENIA;EPSS40;Savia Salud;890982153;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES;Capitación ; 14,599,544.00   ; 14,599,544.00   
05059;ANTIOQUIA;ARMENIA;ESS024;Coosalud;890982153;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES;Capitación ; 36,320,220.00   ; 36,320,220.00   
05079;ANTIOQUIA;BARBOSA;EPSS40;Savia Salud;890905193;ESE HOSPITAL SAN VICENTE DE PAUL;Capitación ; 370,693,390.00   ; 370,693,390.00   
05086;ANTIOQUIA;BELMIRA;EPSS37;Nueva Eps;890982065;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO;Capitación ; 4,650,213.00   ; 4,650,213.00   
